Time,Value,Call Sum (in K),Put Sum (in K),Difference (in K),Call Boundary (in K),Put Boundary (in K),Call ITM,Put ITM
15:30:00,20434.05,17.6,-3.8,21.4,7.9,-5.6,0.6,0.7
11:08:37,20293.2,698.4,290.9,407.5,190.7,253.3,0.0,0.1
11:09:37,20304.95,684.9,294.4,390.5,186.5,257.3,0.0,0.1
11:10:07,20303.9,684.9,294.4,390.5,186.5,257.3,0.0,0.1
11:11:37,20307.6,709.1,302.2,406.9,195.1,262.1,0.0,0.1
11:12:37,20307.6,709.1,302.2,406.9,195.1,262.1,0.0,0.1
11:18:08,20311.9,733.8,329.8,404.0,213.1,279.6,0.0,0.1
11:19:38,20308.7,733.8,329.8,404.0,213.1,279.6,0.0,0.1
11:20:07,20310.65,733.8,329.8,404.0,213.1,279.6,0.0,0.1
11:21:37,20307,734.1,329.1,405.0,216.3,282.5,0.0,0.1
11:23:38,20311.2,736.4,339.6,396.8,219.2,290.6,0.0,0.1
11:24:37,20311.2,736.4,339.6,396.8,219.2,290.6,0.0,0.1
11:25:38,20304.15,736.4,339.6,396.8,219.2,290.6,0.0,0.1
11:26:37,20304.15,736.4,339.6,396.8,219.2,290.6,0.0,0.1
11:27:37,20296.5,732.4,348.8,383.6,218.2,297.4,0.0,0.1
11:28:08,20303.85,732.4,348.8,383.6,218.2,297.4,0.0,0.1
11:30:37,20297.25,715.9,352.3,363.6,216.9,301.7,0.0,0.1
11:31:38,20302.4,715.9,352.3,363.6,216.9,301.7,0.0,0.1
11:32:38,20302.4,715.9,352.3,363.6,216.9,301.7,0.0,0.1
11:34:07,20331,710.9,364.6,346.3,216.2,311.6,0.0,0.1
11:35:07,20364.5,367.4,380.8,-13.4,134.7,296.7,0.0,0.1
11:35:37,20364.5,367.4,380.8,-13.4,134.7,296.7,0.0,0.1
11:37:38,20364.05,367.4,380.8,-13.4,134.7,296.7,0.0,0.1
11:39:07,20364.05,367.4,380.8,-13.4,134.7,296.7,0.0,0.1
11:40:08,20350.8,367.7,457.1,-89.4,164.2,323.9,0.0,0.0
11:41:38,20346.85,411.5,490.0,-78.5,184.2,336.2,0.0,0.0
11:43:38,20355.75,411.5,490.0,-78.5,184.2,336.2,0.0,0.0
11:44:38,20355.75,411.5,490.0,-78.5,184.2,336.2,0.0,0.0
11:45:38,20345.2,432.6,496.7,-64.1,195.9,339.0,0.0,0.0
11:49:38,20345.35,450.6,501.0,-50.4,200.9,338.2,0.0,0.0
12:46:38,20357.3,-6.5,0.0,-6.5,-4.5,0.0,0.0,0.0
